cell_index,pi_label,a_mean,a_sd,a_ci_low,a_ci_high,a_passed,b_successes,b_n,b_coverage_hat,b_cp_lower,b_passed,s_mean,s_median,s_pos_rate,s_n_above,s_n_below
0,low,0.005714075378019163,0.011393853886027167,0.004490099275123813,0.006938051480914513,True,500,500,1.0,0.9918447468624653,True,0.005714075378019163,0.006104566611742301,0.73,0,0
1,medium,0.005121857476666243,0.013986482312293502,0.0036193702335386353,0.006624344719793852,True,499,500,0.998,0.9879669830989508,True,0.005121857476666243,0.005227492023288982,0.676,0,1
2,high,0.005347897420445028,0.01831994390167484,0.0033798913562693212,0.0073159034846207345,True,495,500,0.99,0.9755478136278123,True,0.005347897420445028,0.006371800798187166,0.658,1,4
